Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
246,Mount St. Mary's,NEC,14-16,-6.54,96.6,103.2,63.6,-0.036,-6.87,100.3,107.1,1.12
247,UMass Lowell,AE,15-16,-6.87,96.8,103.7,67.7,-0.063,-6.77,100.8,107.6,-1.93
248,Georgia Southern,SB,13-16,-6.97,96.9,103.9,66.4,0.038,-1.08,101.9,103,-0.1
249,Stony Brook,AE,18-13,-7.02,104.5,111.5,68.5,0.099,-6.44,100.4,106.8,-1.44
250,South Florida,Amer,22-Aug,-7.14,91.7,98.8,65.2,-0.004,4.45,105.1,100.6,-2.78
251,Elon,CAA,22-Oct,-7.22,100.3,107.5,66.1,-0.055,2.07,105.2,103.1,9.2
252,Air Force,MWC,17-Nov,-7.37,96.4,103.8,63.4,0.067,2.11,104.7,102.6,-8.24
253,New Orleans,Slnd,17-12,-7.49,97.9,105.4,72.4,0.036,-8.76,100.6,109.3,-3.04
254,UC San Diego,BW,13-16,-7.55,102.3,109.9,68.1,0.006,-3.29,100.6,103.9,-3.29
255,Quinnipiac,MAAC,16-Dec,-7.6,102.8,110.4,69.3,-0.021,-4.36,100.2,104.5,-10.63
256,Texas A&M Corpus Chris,Slnd,20-11,-7.65,97.3,104.9,69.6,0.026,-10.82,99.2,110.1,-8.63
257,Alcorn St.,SWAC,15-15,-7.68,98.9,106.5,67.7,0.117,-3.59,100.6,104.2,14.56
258,Miami OH,MAC,14-17,-7.72,104.2,111.9,67.8,-0.038,-4.41,101.8,106.2,-3.17
259,Canisius,MAAC,20-Nov,-7.72,98.6,106.3,68.3,0.043,-1.63,102.5,104.1,0.73
